track_name	track_dur	annotator_name	S_f	S_o	S_u	lower_mean_seg_dur	lower_nsegs	lower_nsegs_per_label	lower_nunique_labels	upper_mean_seg_dur	upper_nsegs	upper_nsegs_per_label	upper_nunique_labels
780	268.386508	3	0.877134213247	0.781156771891	1.0	7.06277834208	38	"{u'a': 10, u'c': 6, u'b': 6, u'd': 7, u""a'"": 6, u""d'"": 1, u'Silence': 2}"	7	16.7740986875	16	{u'A': 4, u'C': 3, u'B': 3, u'D': 4, u'Silence': 2}	5
780	268.386508	9	0.831182217092	0.711130707667	1.0	7.06280286839	38	"{u'a': 6, u'c': 6, u'b': 6, u'e': 4, u'd': 7, u""a'"": 6, u'f': 1, u""d'"": 1, u'Silence': 1}"	9	24.3987733636	11	{u'A': 3, u'C': 3, u'B': 3, u'D': 1, u'Silence': 1}	5
342	327.836735	16	0.744646923814	0.652729121252	0.86669565329	5.12244893747	64	"{u'a': 15, u'c': 5, u'b': 8, u'e': 4, u'd': 4, u""a'"": 3, u'f': 3, u'i': 1, u'h': 7, u'g': 12, u'Silence': 2}"	11	40.979591875	8	"{u'A': 2, u'C': 1, u'B': 1, u'D': 1, u""A'"": 1, u'Silence': 2}"	6
1018	247.170612	16	0.806057071849	0.764624750036	0.852236781008	4.18933245761	59	"{u'a': 28, u'c': 12, u'b': 14, u""c'"": 1, u'z': 2, u'Silence': 2}"	6	22.4700558181	11	{u'A': 1, u'C': 3, u'B': 3, u'Z': 2, u'Silence': 2}	5
574	194.069955	2	0.844067136971	0.730204291241	1.0	3.88139094	50	"{u'a': 4, u'c': 4, u'b': 4, u'e': 15, u'd': 4, u'g': 6, u'f': 4, u'i': 2, u'h': 2, u""e'"": 1, u'k': 2, u'Silence': 2}"	12	13.8621104286	14	{u'A': 2, u'C': 5, u'B': 2, u'E': 1, u'D': 2, u'Silence': 2}	6
574	194.069955	8	0.854684102782	0.746243114986	1.0	3.96061130606	49	{u'a': 20, u'c': 2, u'b': 4, u'e': 2, u'd': 2, u'g': 2, u'f': 6, u'h': 4, u'v': 6, u'Silence': 1}	10	17.6427232727	11	{u'A': 5, u'H': 1, u'V': 2, u'Silence': 1, u'F': 2}	5
1600	211.611655	4	0.757994828693	0.61029925334	1.0	9.61871154545	22	"{u'a': 3, u'c': 4, u'b': 4, u""c'''"": 1, u'd': 4, u""a'"": 1, u""c'"": 3, u""c''"": 1, u'Silence': 1}"	9	21.1611654	10	{u'A': 4, u'C': 1, u'B': 4, u'Silence': 1}	4
1106	182.78322	4	0.730231410948	0.575090152051	1.0	14.0602476923	13	"{u'a': 1, u'c': 1, u'b': 1, u'e': 1, u'd': 3, u'g': 1, u'f': 1, u""e'"": 1, u'z': 1, u""e''"": 1, u'Silence': 1}"	11	30.46387	6	{u'A': 1, u'C': 1, u'B': 2, u'Z': 1, u'Silence': 1}	5
1106	182.78322	7	1.0	1.0	1.0	22.845056625	8	"{u'a': 1, u'c': 1, u'b': 1, u'd': 1, u""c'"": 1, u""c''"": 1, u'z': 2}"	7	22.845056625	8	"{u'A': 1, u'C': 1, u'B': 1, u'D': 1, u""C'"": 1, u""C''"": 1, u'Z': 2}"	7
434	182.54508	2	0.437601445291	0.341746135516	0.608191063549	5.21557371423	35	{u'a': 12, u'c': 4, u'b': 12, u'd': 4, u'n': 1, u'Silence': 2}	6	26.0778687143	7	"{u'A': 3, u'Silence': 2, u""A'"": 1, u'N': 1}"	4
434	182.54508	8	0.767855737608	0.623186554565	1.0	4.24520174414	43	{u'a': 12, u'c': 8, u'b': 12, u'e': 4, u'd': 4, u'i': 1, u'Silence': 2}	7	9.60756178947	19	{u'A': 12, u'I': 1, u'C': 4, u'Silence': 2}	4
541	161.364195	6	0.569552149438	0.398163518659	1.0	4.74376544118	34	{u'c': 3, u'b': 2, u'e': 2, u'd': 4, u'g': 2, u'f': 3, u'i': 2, u'h': 1, u'k': 2, u'j': 2, u'm': 1, u'l': 3, u'o': 3, u'n': 3, u'Silence': 1}	15	13.4406689167	12	"{u'A': 7, u'C': 1, u'B': 2, u'Silence': 1, u""A'"": 1}"	5
541	161.364195	9	0.678581604876	0.582508238575	0.812604930105	4.48233875	36	"{u'a': 8, u'c': 1, u'b': 6, u'e': 1, u'd': 1, u""a'"": 11, u""a''"": 6, u'Silence': 2}"	8	16.1364194	10	"{u'A': 3, u'B': 2, u'Silence': 2, u""A'"": 3}"	4
